"info","Value","Reference","Footprint","LCSC Part #","link","basic?","price","Qty","DNP"
"15pF Cap","15p","C10,C11","Capacitor_SMD:C_0402_1005Metric","C1548","https://jlcpcb.com/partdetail/1900-0402CG150J500NT/C1548","yes","C$0.0013 ","2",""
"0.01uF Cap","0.01u","C35","Capacitor_SMD:C_0402_1005Metric","C15195","https://jlcpcb.com/partdetail/15869-CL05B103KB5NNNC/C15195","yes","C$0.0017 ","1",""
"100nF Cap","100n","C40,C50,C51,C60,C81,C82,C200,C201,C202,C203,C204,C205,C206,C207,C208","Capacitor_SMD:C_0402_1005Metric","C307331","https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331","yes","C$0.0077 ","15",""
"1uF Cap","1u","C209,C210","Capacitor_SMD:C_0402_1005Metric","C52923","https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923","yes","C$0.0041 ","2",""
"2.2uF Cap","2.2u","C64","Capacitor_SMD:C_0402_1005Metric","C12530","https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530","yes","C$0.0031 ","1",""
"100uF Cap","100u","C30","Capacitor_SMD:C_1206_3216Metric","C15008","https://jlcpcb.com/partdetail/15681-CL31A107MQHNNNE/C15008","yes","C$0.0830 ","1",""
"27 ohm","27","R213,R214","Resistor_SMD:R_0603_1608Metric","C25190","https://jlcpcb.com/partdetail/25933-0603WAF270JT5E/C25190","extended prefered","C$0.0013","2",""
"1k ohm","1k","R12,R30","Resistor_SMD:R_0402_1005Metric","C11702","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702","yes","C$0.0007","2",""
"4.7k ohm","4.7k","R211,R212","Resistor_SMD:R_0402_1005Metric","C25900","https://jlcpcb.com/partdetail/26643-0402WGF4701TCE/C25900","yes","C$0.0007 ","2",""
"1k ohm","10k","R83","Resistor_SMD:R_0402_1005Metric","C25744","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744","yes","C$0.0007 ","1",""
"22.1k ohm","22.1k","R62","0603","C25961","https://jlcpcb.com/partdetail/26704-0603WAF2212T5E/C25961","no","C$0.0013","1","DNP"
"23.7k ohm","23.7k","R31,R32,R33,R34","0603","C22912","https://jlcpcb.com/partdetail/23639-0603WAF2372T5E/C22912","no","C$0.0013 ","4","DNP"
"51.1k ohm","51.1k","R36","0603","C23072","https://jlcpcb.com/partdetail/23799-0603WAF5112T5E/C23072","no","C$0.0013 ","1","DNP"
"100k ohm","100k","R61","Resistor_SMD:R_0402_1005Metric","C25741","https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741","yes","C$0.0007","1",""
"20uF / 25v cap","10uF / 25v","C63,C65","0603","C96446","https://jlcpcb.com/partdetail/97651-CL10A106MA8NRNC/C96446","yes","C$0.0226","2",""
"Crystal","ABM8-272-T3","X1","crystal:ABM8-272-T3_ABR","C20625731","https://jlcpcb.com/partdetail/AbraconLlc-ABM8_272T3/C20625731","no","C$0.6692 ","1",""
"Altimeter","BMP388","U5","BMP388:PQFN50P200X200X80-10N","C779278","https://jlcpcb.com/partdetail/BoschSensortec-BMP388/C779278","no"," C$2.3423 ","1",""
"IMU","BNO055","U8","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","C93216","https://jlcpcb.com/partdetail/BoschSensortec-BNO055/C93216","no","C$14.0435 ","1",""
"PCIe fingers","Bus_PCI_Express_x1","J1","Connector_PCBEdge:BUS_PCIexpress_x1","n/a","n/a","n/a","n/a","1",""
"two headders","Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","n/a","n/a","n/a","n/a","1",""
"DC-DC Converter","LMR51430 1.1k FPWM","U6","Package_TO_SOT_SMD:SOT-23-6","C5219261","https://jlcpcb.com/partdetail/TexasInstruments-LMR51430YFDDCR/C5219261","no","C$1.4952 ","1",""
"CAN Transceiver","MCP25625-x-SS","U7","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","C184944","https://jlcpcb.com/partdetail/MicrochipTech-MCP25625_ESS/C184944","","C$6.0709 ","1",""
"MCU","RP2040","U2","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040","https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040","no","C$1.4190 ","1",""
"Power MUX","TPS2121RUXR","U3","TPS2121RUXR:IC_TPS2121RUXR","C485916","https://jlcpcb.com/partdetail/TexasInstruments-TPS2121RUXR/C485916","","C$1.3394 ","1",""
"USB-C","TYPE-C-31-M-04","J2","TYPE-C-31-M-04:HRO_TYPE-C-31-M-04","C129018","https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M04/C129018","no","C$0.8196 ","1",""
"Flash","W25Q128JVP","U4","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","C190862","https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVPIQ/C190862","no","C$1.0737 ","1",""
